               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.010547,           0.0041697,                   0,             0.98662,              0.8156,             0.90017,             0.81426,             0.01475,           0.0080116,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.010448,           0.0041387,                   0,             0.97674,             0.82306,             0.90001,             0.81566,             0.01472,           0.0080456,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.010382,           0.0041067,                   0,             0.98115,             0.81833,             0.89893,              0.8147,            0.014669,           0.0080645,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.010294,           0.0040403,                   0,             0.98111,             0.82029,             0.89842,             0.81393,             0.01463,           0.0080966,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.010224,           0.0040624,                   0,             0.98393,             0.81675,             0.89763,             0.81368,            0.014631,           0.0081588,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.010117,           0.0040138,                   0,             0.98263,             0.81675,             0.89727,             0.81357,            0.014637,           0.0082134,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.009949,           0.0039746,                   0,             0.98018,             0.81833,              0.8971,             0.81298,            0.014593,           0.0082183,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.010007,           0.0039487,                   0,             0.98005,             0.81833,             0.89683,             0.81287,            0.014569,           0.0082333,                   0,            0.005644,            0.005644,            0.005644
                  46,           0.0098164,            0.003933,                   0,             0.97921,             0.81833,             0.89702,             0.81231,            0.014554,           0.0082792,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.009863,           0.0039215,                   0,             0.98473,              0.8152,             0.89621,             0.81186,            0.014549,           0.0083074,                   0,            0.005446,            0.005446,            0.005446
                  48,           0.0096092,           0.0038807,                   0,             0.99041,             0.81554,             0.89587,             0.81196,            0.014505,           0.0083206,                   0,            0.005347,            0.005347,            0.005347
                  49,           0.0096345,           0.0038766,                   0,              0.9904,             0.81473,             0.89435,             0.81072,            0.014515,           0.0083613,                   0,            0.005248,            0.005248,            0.005248
                  50,           0.0095075,           0.0038199,                   0,             0.99039,             0.81413,             0.89453,             0.81046,            0.014543,           0.0083783,                   0,            0.005149,            0.005149,            0.005149
                  51,           0.0094593,           0.0038127,                   0,             0.98664,             0.81672,             0.89429,             0.81086,            0.014563,           0.0083968,                   0,             0.00505,             0.00505,             0.00505
